,0,1
0,help,40
1,children,30
2,support,30
3,youth,28
4,latino,26
5,education,25
6,women,24
7,young,21
8,community,21
9,families,18
10,mexico,16
11,provide,15
12,communities,15
13,students,13
14,violence,12
15,new,11
16,life,11
17,access,10
18,kids,10
19,services,10
20,build,10
21,together,10
22,school,9
23,give,9
24,rural,9
25,program,8
26,join,8
27,free,8
28,immigrant,8
29,college,8
30,let,8
31,make,8
32,funds,8
33,building,8
34,empower,7
35,change,7
36,center,7
37,become,7
38,central,7
39,immigration,7
40,music,6
41,salvador,6
42,lives,6
43,city,6
44,guatemala,6
45,project,6
46,conference,6
47,low-income,6
48,people,6
49,future,6
50,legal,6
51,continue,6
52,provides,6
53,philadelphia,6
54,low,6
55,victims,6
56,dance,5
57,intensive,5
58,skills,5
59,work,5
60,healthy,5
61,live,5
62,learn,5
63,want,5
64,goal,5
65,mexican,5
66,mayan,5
67,health,5
68,get,5
69,training,5
70,american,5
71,fleeing,5
72,transform,5
73,girls,5
74,part,5
75,need,5
76,deportation,5
77,arts,5
78,raise,5
79,indigenous,5
80,amp,5
81,leadership,5
82,opportunities,4
83,givingtuesday,4
84,leaders,4
85,poverty,4
86,family,4
87,use,4
88,rights,4
89,transforming,4
90,teatro,4
91,personal,4
92,care,4
93,refugee,4
94,immigrants,4
95,america,4
96,bring,4
97,justice,4
98,local,4
99,migrant,4
100,classes,4
101,across,4
102,creating,4
103,improve,4
104,cancer,4
105,learning,4
106,development,4
107,home,4
108,create,4
109,start,4
110,promote,4
111,water,4
112,income,4
113,train,4
114,3rd-5th,3
115,promoting,3
116,resources,3
117,second,3
118,educate,3
119,business,3
120,giving,3
121,movement,3
122,supporting,3
123,healing,3
124,love,3
125,affected,3
126,positive,3
127,today,3
128,high,3
129,marginalized,3
130,educational,3
131,united,3
132,guatemala.,3
133,innovative,3
134,food,3
135,safe,3
136,one,3
137,day,3
138,80,3
139,sexual,3
140,quality,3
141,defend,3
142,oasis,3
143,keep,3
144,farmworker,3
145,grade,3
146,postsecondary,3
147,nutrition,3
148,latina,3
149,play,3
150,plan,3
151,dream,3
152,workshops,3
153,donate,3
154,art,3
155,culture,3
156,best,3
157,away,3
158,violence.,3
159,succeed,3
160,come,3
161,empowering,3
162,providing,3
163,talented,3
164,country,3
165,out-of-school,3
166,worker,3
167,child,3
168,tradition,3
169,theater,3
170,fighting,3
171,academic,3
172,scholarship,3
173,schools,3
174,know,3
175,birth,3
176,unique,3
177,dreams,3
178,gift,3
179,donations,3
180,economic,3
181,organizing,3
182,power,3
183,right,3
184,grades.,3
185,financial,3
186,fight,3
187,raising,3
188,5,3
189,welcome,3
190,chance,3
191,time,3
192,starting,3
193,cooperative,2
194,creative,2
195,inspire,2
196,ario,2
197,realities,2
198,helps,2
199,heard,2
200,mothers,2
201,puebla,2
202,plaza,2
203,participate,2
204,mural,2
205,cost,2
206,4,2
207,centers,2
208,body,2
209,men,2
210,100,2
211,study,2
212,social,2
213,raza,2
214,secure,2
215,crisis,2
216,working,2
217,dreamers,2
218,sessions,2
219,plant,2
220,visual,2
221,town,2
222,heart,2
223,citizens,2
224,theater.,2
225,share,2
226,nmilc,2
227,breaking,2
228,survivors,2
229,ensure,2
230,dignified,2
231,stop,2
232,autonomy,2
233,aspire,2
234,produce,2
235,urges,2
236,improving,2
237,grow,2
238,remember,2
239,childhood,2
240,maintain,2
241,allow,2
242,tutoring,2
243,order,2
244,hispanics,2
245,femicides,2
246,toward,2
247,abilities,2
248,thank,2
249,lt,2
250,offers,2
251,propose,2
252,year.,2
253,therapy,2
254,literacy,2
255,system.,2
256,level,2
257,luna,2
258,challenges,2
259,connect,2
260,special,2
261,kensington,2
262,increase,2
263,math,2
264,members,2
265,language,2
266,creates,2
267,musicians,2
268,first,2
269,unaccompanied,2
270,latina/x,2
271,reached,2
272,open,2
273,tomorrow,2
274,least,2
275,afterschool,2
276,philanthropy,2
277,urban,2
278,way,2
279,park,2
280,educationovermigration,2
281,elected,2
282,prevent,2
283,patients,2
284,computer,2
285,deserving,2
286,san,2
287,voices,2
288,take,2
289,morelos,2
290,k-,2
291,potential,2
292,doors,2
293,combat,2
294,change.,2
295,reach,2
296,maria,2
297,camp,2
298,clean,2
299,latinos,2
300,spaces,2
301,asylum,2
302,networks,2
303,brighter,2
304,awareness,2
305,hip,2
306,professionals,2
307,chicago,2
308,reproductive,2
